iteration	time	average_speed	average_speed_lane_0	average_speed_lane_1	average_speed_lane_2	vehicle_count
175	0.1539479	2.7083333	2.3157895	1.875	4.3076925	48
176	0.1546078	2.7916667	1.875	3.047619	3.6363637	48
177	0.15524781	2.5416667	2.6111112	1.95	3.6	48
178	0.15599391	2.6041667	2.6470587	1.875	3.3333333	48
179	0.1566659	2.8333333	2.9444444	2.5333333	3	48
180	0.1574959	3.125	3.0555556	3.0588236	3.3076923	48
181	0.15827991	2.7916667	2.7368422	2.3125	3.4615386	48
182	0.1591414	2.9791667	2.7619047	2.9285715	3.3846154	48
183	0.1599882	2.9583333	2.4210527	3.2777777	3.3636363	48
184	0.1608683	2.8333333	2.368421	2.6111112	4	48
185	0.1616161	2.7291667	2.2105262	2.25	4.076923	48
186	0.1622675	2.6875	2.0555556	2.7777777	3.5	48
187	0.1628983	2.75	2.2083333	3.3846154	3.1818182	48
188	0.1636675	2.7083333	1.8636364	3.2	3.7272727	48
189	0.1647947	2.3541667	1.6	2.7058823	3.1818182	48
190	0.1659037	2.5208333	2.173913	2.4666667	3.4	48
191	0.1667585	2.6458333	2.1666667	2.6	3.6	48
192	0.1675265	2.6041667	2.2222223	2.4761906	3.6666667	48
193	0.1682933	2.9791667	2.5789473	2.5625	4.076923	48
194	0.1690853	3.125	2.5625	3.3	3.5833333	48
195	0.16979289	2.8958333	2.3125	2.8333333	3.642857	48
196	0.17064461	3.1875	2.7857144	2.952381	4	48
197	0.1714256	2.8541667	2.9285715	2.0952382	4	48
198	0.17211911	3.0208333	3	2.3333333	3.9285715	48
199	0.1728537	2.7916667	2.4666667	2	3.8235295	48
200	0.1735121	2.7916667	2.7058823	2.375	3.3333333	48
201	0.174264	2.9791667	2.6111112	2.9333334	3.4666667	48
202	0.1751358	2.5416667	2.2631578	2.7333333	2.7142856	48
203	0.1758705	2.7083333	2.1578948	2.8235295	3.4166667	48
204	0.1765238	3.0625	2.5789473	2.8125	4.076923	48
205	0.1773878	3.2083333	2.5	3.3333333	4.1538463	48
206	0.1781131	3.1875	2.4117646	3.3888888	3.9230769	48
207	0.1788514	3.3958333	2.7222223	3.2666667	4.3333335	48
208	0.1796365	3.3125	3.25	3.2222223	3.5	48
209	0.1805247	3.3541667	3.6470587	2.8823528	3.5714285	48
210	0.181541	3.625	3.75	3.4285715	3.642857	48
211	0.1825588	3.375	3.2	3.090909	3.764706	48
212	0.1834357	3.1875	2.75	4.0833335	3.0625	48
213	0.1841884	2.9375	2.3333333	3.4666667	3.1333334	48
214	0.18493369	3.1041667	2.6470587	3.8888888	2.6153846	48
215	0.1857068	3.125	3.3888888	2.9411764	3	48
216	0.18649511	3.3125	3.125	3.25	3.6666667	48
217	0.1872158	3.2916667	3.1	2.4375	4.75	48
218	0.1880764	3.2083333	2.8666666	2.7142856	4.5	48
219	0.1888107	3.1666667	3	2.6	4.142857	48
220	0.1895979	3.0625	3.625	2	4.2727275	48
221	0.1902678	3.1666667	2.8823528	2.85	4.181818	48
222	0.1910473	3.4583333	3.4444444	2.6666667	4.6666665	48
223	0.19187671	3.1041667	2.6842105	2.6875	4.230769	48
224	0.192684	2.875	2.45	2.875	3.5833333	48
225	0.193368	3.0833333	2.35	3.0625	4.3333335	48
226	0.194176	3.2916667	2.5555556	3.3888888	4.25	48
227	0.1950741	3.0208333	2.5294118	2.6666667	4.1538463	48
228	0.1959104	2.7291667	2.2941177	2.3529413	3.7142856	48
229	0.1967717	2.875	2.45	2.3333333	3.8125	48
230	0.19795631	3	2.2941177	3.5333333	3.25	48
231	0.1991121	2.9166667	2.235294	3.4	3.1875	48
232	0.1999186	2.8125	1.9375	3.5882354	2.8666666	48
233	0.2005465	2.7916667	2.625	2.5882354	3.2	48
234	0.20127779	2.8333333	2.4705882	2.875	3.2	48
235	0.201976	3.0625	2.8	2.6	4	48
236	0.2028241	3.1875	2.6666667	2.9411764	4.230769	48
237	0.20354049	3.4791667	2.9444444	3.25	4.428571	48
238	0.2042316	3.4375	2.7058823	3.764706	3.9285715	48
239	0.2050159	3.375	3	2.875	4.25	48
240	0.2057364	3.375	3.25	3.6470587	3.2	48
241	0.2064153	3.3333333	3	3.7692308	3.3529413	48
242	0.20712419	3.25	3.6	3.3888888	2.7333333	48
243	0.2077802	2.9583333	3.2666667	2.6470587	3	48
244	0.2085572	2.5416667	2.6	2.7058823	2.3125	48
