iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow
95,0.0091432,3.0333333,3.2727273,2.3636363,3.625,30,0.5,0.4,9,9,9,0.91
96,0.00887,3.2258065,2.9333334,3.1,4.1666665,31,0.5,0.4,9,9,9,1
97,0.0098332,2.6451614,1.9090909,2.25,4.25,31,0.5,0.4,9,9,9,0.82000005
98,0.0093833,3.580645,3.9,4.1,2.8181818,31,0.5,0.4,9,9,9,1.11
99,0.0091274,3.21875,1.6666666,3.3076923,5.714286,32,0.5,0.4,9,9,9,1.03
100,0.0106021,3.71875,2.2857144,4.3,5.5,32,0.5,0.4,9,9,9,1.1899999
101,0.0101781,3.78125,2.8333333,3.4,5.3,32,0.5,0.4,9,9,9,1.2099999
102,0.0087947,4.53125,3.7272727,5,4.888889,32,0.5,0.4,9,9,9,1.4499999
103,0.0092729,3.5454545,4,3.0769231,3.5714285,33,0.5,0.4,9,9,9,1.1700001
104,0.0304467,3.5454545,3.0769231,3.3636363,4.4444447,33,0.5,0.4,9,9,9,1.1700001
105,0.0116455,3.2727273,3.1538463,2.8333333,4.125,33,0.5,0.4,9,9,9,1.08
106,0.0117655,2.735294,1.5714285,3.0833333,4.25,34,0.5,0.4,9,9,9,0.93
107,0.0117637,3.1470587,3,3.1333334,3.375,34,0.5,0.4,9,9,9,1.0699999
108,0.0107337,2.8235295,2.4,2.8,3.5555556,34,0.5,0.4,9,9,9,0.96000004
109,0.0105413,3.2857144,3.5714285,3.090909,3.1,35,0.5,0.4,9,9,9,1.15
110,0.0098424,3.4857142,2.8333333,3.6153846,4.1,35,0.5,0.4,9,9,9,1.2199999
111,0.0105514,3.2571428,3.2727273,3.4545455,3.0769231,35,0.5,0.4,9,9,9,1.14
112,0.0114829,3.3714285,3.7142856,2.6153846,4,35,0.5,0.4,9,9,9,1.18
113,0.0115334,3.1944444,3.5833333,2.8125,3.375,36,0.5,0.4,9,9,9,1.1500001
114,0.0106347,2.9722223,3.4615386,2.6153846,2.8,36,0.5,0.4,9,9,9,1.07
115,0.0100881,3.3055556,3.8,2.75,3.2222223,36,0.5,0.4,9,9,9,1.19
116,0.011474,3.6756756,2.7333333,4.4,4.25,37,0.5,0.4,9,9,9,1.36
117,0.0113564,2.7297297,3.1666667,2.8333333,2.2307692,37,0.5,0.4,9,9,9,1.01
118,0.0106262,3.5945945,3.75,3.8333333,3.2307692,37,0.5,0.4,9,9,9,1.3299999
119,0.0123047,3.0263157,2.4615386,3.4375,3.1111112,38,0.5,0.4,9,9,9,1.15
120,0.0124254,3.2894738,3.2666667,2.909091,3.6666667,38,0.5,0.4,9,9,9,1.25
121,0.0133324,3.0263157,3,2.5,3.8181818,38,0.5,0.4,9,9,9,1.15
122,0.012013,2.7368422,2.9230769,2.3125,3.2222223,38,0.5,0.4,9,9,9,1.04
123,0.0112755,3.2307692,2.2666667,3.3846154,4.3636365,39,0.5,0.4,9,9,9,1.2599999
124,0.0118578,3,1.9411764,3.1818182,4.4545455,39,0.5,0.4,9,9,9,1.17
125,0.0117577,2.6410255,2.2,2.9230769,2.909091,39,0.5,0.4,9,9,9,1.03
126,0.0133048,2.9,3,2,4.5555553,40,0.5,0.4,9,9,9,1.1600001
127,0.0125181,3.275,3.2857144,3,3.7,40,0.5,0.4,9,9,9,1.3100001
128,0.0117967,3.125,2.2941177,3.909091,3.5833333,40,0.5,0.4,9,9,9,1.25
129,0.0137456,2.9512196,3.2307692,2.5333333,3.1538463,41,0.5,0.4,9,9,9,1.21
130,0.0171238,2.682927,2.6875,2,3.4166667,41,0.5,0.4,9,9,9,1.1
131,0.0169458,3.0487804,3.4615386,2.5294118,3.3636363,41,0.5,0.4,9,9,9,1.25
132,0.0185559,2.6585367,2.0714285,3.1333334,2.75,41,0.5,0.4,9,9,9,1.09
133,0.0191062,2.547619,2.25,1.875,4.1,42,0.5,0.4,9,9,9,1.0699999
134,0.0156561,2.547619,2.3333333,2.1176472,3.6,42,0.5,0.4,9,9,9,1.0699999
135,0.0173451,3.3333333,2.625,2.7272727,4.5333333,42,0.5,0.4,9,9,9,1.4
136,0.0157101,2.8372092,3.9230769,2,2.8461537,43,0.5,0.4,9,9,9,1.22
137,0.0146474,2.860465,2.3333333,3.3333333,3.1538463,43,0.5,0.4,9,9,9,1.23
138,0.0164907,2.5348837,2.5882354,2.5714285,2.4166667,43,0.5,0.4,9,9,9,1.09
139,0.013867,2.2790697,2,2.5625,2.2727273,43,0.5,0.4,9,9,9,0.97999996
140,0.0158202,3.1136363,2.8125,3.0666666,3.5384614,44,0.5,0.4,9,9,9,1.3699999
141,0.0144939,2.75,2.4615386,2.857143,2.9,44,0.5,0.4,9,9,9,1.21
142,0.0146529,2.6363637,2.4117646,2.875,2.6363637,44,0.5,0.4,9,9,9,1.1600001
143,0.0146595,2.6666667,3.0769231,2.4736843,2.5384614,45,0.5,0.4,9,9,9,1.2
144,0.0145949,3.2222223,2.7894738,3,4.1666665,45,0.5,0.4,9,9,9,1.45
145,0.0149633,2.6444445,2.25,2.9166667,3,45,0.5,0.4,9,9,9,1.1899999
146,0.015276,2.826087,3.3333333,2.235294,3,46,0.5,0.4,9,9,9,1.3000001
147,0.0147968,2.4782608,2.5333333,2.1666667,2.8461537,46,0.5,0.4,9,9,9,1.14
148,0.0158427,1.6086956,1.4375,2.2666667,1.1333333,46,0.5,0.4,9,9,9,0.74
149,0.0161518,2.347826,2.6470587,1.9444444,2.5454545,46,0.5,0.4,9,9,9,1.0799999
150,0.0162886,2.7234042,2.4705882,2.9411764,2.7692308,47,0.5,0.4,9,9,9,1.28
151,0.0162808,2.8723404,2.7058823,2.4705882,3.6153846,47,0.5,0.4,9,9,9,1.35
152,0.0167262,2.3829787,2,2.5625,2.6,47,0.5,0.4,9,9,9,1.12
153,0.0178849,2.6666667,1.9375,2.5263157,3.7692308,48,0.5,0.4,9,9,9,1.28
154,0.0178833,2.4375,2.4375,2.8235295,2,48,0.5,0.4,9,9,9,1.17
155,0.0180948,2.7083333,2.75,2.3157895,3.2307692,48,0.5,0.4,9,9,9,1.3
156,0.0166132,2.5510204,1.5238096,2.3529413,4.818182,49,0.5,0.4,9,9,9,1.25
157,0.0173078,2.3265307,2.3157895,1.7222222,3.25,49,0.5,0.4,9,9,9,1.1400001
158,0.0168613,2.1632652,2.1875,1.7,2.8461537,49,0.5,0.4,9,9,9,1.06
159,0.0167962,2.1020408,1.8421053,2.1764705,2.3846154,49,0.5,0.4,9,9,9,1.03
160,0.0188197,2.44,2.631579,2.4,2.25,50,0.5,0.4,9,9,9,1.22
161,0.0190962,2.56,2.6111112,2.0555556,3.142857,50,0.5,0.4,9,9,9,1.28
162,0.0178355,2.64,2.5263157,2.2222223,3.3846154,50,0.5,0.4,9,9,9,1.32
163,0.0214786,2.4313726,2.6,2.3333333,2.4,51,0.5,0.4,9,9,9,1.24
164,0.0215791,2.509804,2.5,2.4705882,2.5714285,51,0.5,0.4,9,9,9,1.28
165,0.0182094,1.9607843,1.5263158,2.2777777,2.142857,51,0.5,0.4,9,9,9,1
166,0.0183713,2.5,1.5882353,2.7368422,3.1875,52,0.5,0.4,9,9,9,1.3
167,0.0198268,2.1730769,2.357143,2.2608695,1.8666667,52,0.5,0.4,9,9,9,1.1299999
168,0.0193968,2.3461537,2.2631578,1.1111112,3.9333334,52,0.5,0.4,9,9,9,1.2199999
169,0.0193608,2.4038463,2.5,2.25,2.5,52,0.5,0.4,9,9,9,1.25
170,0.023488,1.8867924,1.35,2.2,2.2307692,53,0.5,0.4,9,9,9,0.99999994
171,0.022846,2.1320755,2.0555556,1.85,2.6,53,0.5,0.4,9,9,9,1.13
172,0.0243184,2.2641509,1.6315789,2.142857,3.3846154,53,0.5,0.4,9,9,9,1.1999999
173,0.0193878,2.2037036,1.8421053,2.347826,2.5,54,0.5,0.4,9,9,9,1.19
174,0.0199925,2.351852,2.047619,2.25,3,54,0.5,0.4,9,9,9,1.2700001
175,0.0199617,1.9444444,1.4347826,2.5294118,2.0714285,54,0.5,0.4,9,9,9,1.0500001
176,0.0202046,2.5370371,2.5238094,2.1052632,3.142857,54,0.5,0.4,9,9,9,1.3700001
177,0.020121,2.1090908,1.9090909,2.3333333,2.1333334,55,0.5,0.4,9,9,9,1.16
178,0.0215793,1.9090909,1.5454545,1.6315789,2.857143,55,0.5,0.4,9,9,9,1.05
179,0.0248731,2.2363636,1.85,2.45,2.4666667,55,0.5,0.4,9,9,9,1.23
180,0.0213345,1.8571428,1.5714285,1.8571428,2.2857144,56,0.5,0.4,9,9,9,1.04
181,0.0206483,2.25,2,2.5294118,2.3125,56,0.5,0.4,9,9,9,1.26
182,0.0205874,2,1.85,1.8095238,2.4666667,56,0.5,0.4,9,9,9,1.12
183,0.0228468,1.9298246,1.9,1.2857143,2.8125,57,0.5,0.4,9,9,9,1.1
184,0.023261,1.9824561,2.0869565,1.5714285,2.4615386,57,0.5,0.4,9,9,9,1.13
185,0.0224572,1.877193,1.4285715,1.6666666,2.8,57,0.5,0.4,9,9,9,1.0699999
186,0.0239948,2.4035087,2.0454545,2.631579,2.625,57,0.5,0.4,9,9,9,1.3699999
187,0.0209005,2.0344827,2.2105262,1.5,2.5294118,58,0.5,0.4,9,9,9,1.18
188,0.0220274,2.189655,2.0952382,2.2777777,2.2105262,58,0.5,0.4,9,9,9,1.2699999
189,0.0225746,2.5517242,1.8333334,3.7058823,2.4117646,58,0.5,0.4,9,9,9,1.48
190,0.0234489,2.118644,1.8076923,1.6111112,3.2666667,59,0.5,0.4,9,9,9,1.2499999
191,0.0233372,1.8474576,1.5652174,2.047619,2,59,0.5,0.4,9,9,9,1.0899999
